2018 rank,City,State,2018 estimate,2010 census,Percentage Change,2016 land area km2,2016 population density per km2,Time zone,Website
1,New York City, New York,8398748,8175133,+2.74,780.9 ,"10,933",UTC−05:00 (EST),https://www.nyc.gov/
2,Los Angeles, California,3990456,3792621,+5.22,"1,213.9 ","3,276",UTC−08:00 (Pacific),https://www.lacity.org/
3,Chicago, Illinois,2705994,2695598,+0.39,588.7 ,"4,600",UTC−06:00 (Central),http://www.cityofchicago.org
4,Houston, Texas,2325502,2100263,+10.72,"1,651.1 ","1,395",UTC−6 (CST),http://www.houstontx.gov/
5,Phoenix, Arizona,1660272,1445632,+14.85,"1,340.6 ","1,200",UTC−7 (MST (no DST)),http://www.phoenix.gov
6,Philadelphia, Pennsylvania,1584138,1526006,+3.81,347.6 ,"4,511",UTC-5 (EST),http://www.phila.gov/
7,San Antonio, Texas,1532233,1327407,+15.43,"1,194.0 ","1,250",UTC−6 (CST),http://www.sanantonio.gov/
8,San Diego, California,1425976,1307402,+9.07,842.3 ,"1,670",UTC−8 (Pacific),http://www.sandiego.gov/
9,Dallas, Texas,1345047,1197816,+12.29,882.9 ,"1,493",UTC−6 (Central),http://www.dallascityhall.com/
10,San Jose, California,1030119,945942,+8.90,459.7 ,"2,231",UTC−8 (Pacific Time Zone),http://www.sanjoseca.gov/
11,Austin, Texas,964254,790390,+22.00,809.9 ,"1,170",UTC−6 (CST),http://www.austintexas.gov
12,Jacksonville, Florida,903889,821784,+9.99,"1,935.8 ",455,UTC−5 (Eastern (EST)),http://www.coj.net
13,Fort Worth, Texas,895008,741206,+20.75,888.1 ,962,UTC−6 (CST),http://www.fortworthtexas.gov/
14,Columbus, Ohio,892533,787033,+13.40,565.9 ,"1,520",UTC-5 (EST),http://www.columbus.gov/
15,San Francisco, California,883305,805235,+9.70,121.5 ,"7,170",UTC−8 (Pacific Time Zone),http://sf.gov/
16,Charlotte, North Carolina,872498,731424,+19.29,791.0 ,"1,064",UTC−5 (EST),http://charlottenc.gov
17,Indianapolis, Indiana,867125,820445,+5.69,936.3 ,914,UTC−5 (EST),http://www.indy.gov
18,Seattle, Washington,744955,608660,+22.39,217.0 ,"3,245",UTC−8 (PST),http://www.seattle.gov/
19,Denver, Colorado,716492,600158,+19.38,397.0 ,"1,746",UTC−7 (MST),http://www.denvergov.org/
20,"Washington, D.C.", District of Columbia,702455,601723,+16.74,158.2 ,"4,304",UTC−5 (EST),http://dc.gov/
